,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
180,5.2498908042907715,0.07457527074365965,0.13437857627868652,0.005161562637363918,0.01,{1: 5},gini,7,,,1,50,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 50}",12.47788263049248,12.116632261869656,12.953406074904159,12.855773484736764,13.578380769797965,12.796415044360206,0.49055224674433706,207,12.687089876870898,13.096291380962914,12.545159625451596,12.964021086002875,12.783389243189442,12.815190242495543,0.1957069295645531
181,8.130373430252074,0.26968811997047387,0.1307619571685791,0.002638588678507716,0.01,{1: 5},gini,7,,,1,75,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 75}",12.264081391919788,12.076083751105868,12.923916248894132,12.870520572186994,13.578380769797965,12.742596546780948,0.5331027515076376,233,12.567278625672786,13.158961881589619,12.491705374917053,12.98890404394146,12.783389243189442,12.798047833862071,0.25059930033990413
182,11.170868253707885,0.11162463485990387,0.14825382232666015,0.04559591103023685,0.01,{1: 5},gini,7,,,1,100,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 100}",12.437334119728694,12.061338838100855,12.938661161899145,12.804158678660965,13.419849579708007,12.732268475619533,0.45992755293160364,248,12.682481751824817,13.135921256359213,12.605986876059868,12.934530172890478,12.741917646625133,12.820167540751902,0.19169402707477956
183,4.059884643554687,0.06459460560231495,0.10997347831726074,0.0015395411561071439,0.01,{1: 5},gini,7,,10,1,50,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 50}",12.47788263049248,12.116632261869656,12.953406074904159,12.855773484736764,13.578380769797965,12.796415044360206,0.49055224674433706,207,12.687089876870898,13.096291380962914,12.545159625451596,12.964021086002875,12.783389243189442,12.815190242495543,0.1957069295645531
184,5.852075719833374,0.15117809967483417,0.11505918502807617,0.008113423588108364,0.01,{1: 5},gini,7,,10,1,75,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 75}",12.264081391919788,12.076083751105868,12.923916248894132,12.870520572186994,13.578380769797965,12.742596546780948,0.5331027515076376,233,12.567278625672786,13.158961881589619,12.491705374917053,12.98890404394146,12.783389243189442,12.798047833862071,0.25059930033990413
185,7.402779054641724,0.10505010275882068,0.1480762004852295,0.04176023844591127,0.01,{1: 5},gini,7,,10,1,100,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",12.437334119728694,12.061338838100855,12.938661161899145,12.804158678660965,13.419849579708007,12.732268475619533,0.45992755293160364,248,12.682481751824817,13.135921256359213,12.605986876059868,12.934530172890478,12.741917646625133,12.820167540751902,0.19169402707477956
186,3.588534450531006,0.11541091556372035,0.13142590522766112,0.006502281578546867,0.01,{1: 5},gini,7,0.7,,1,50,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 50}",12.687997640813919,12.120318490120908,13.137717487466825,12.778351275623065,13.851201887627195,12.91511735633038,0.570578413866371,162,13.025326255253262,13.092604880926048,12.906436629064366,13.104102923286762,12.647915361079367,12.95527720992196,0.16898021150195094
187,5.645372772216797,0.13094664569924017,0.15360074043273925,0.03785537599067332,0.01,{1: 5},gini,7,0.7,,1,75,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 75}",12.62164553229136,12.112946033618401,13.24461810675317,12.903701518950008,13.888069606252765,12.95419615957314,0.5962056565771833,156,13.019796505197965,13.035464130354642,12.953439504534394,13.135437018468684,12.834998341136137,12.995827099938364,0.09929668053138342
188,7.465957069396973,0.13004906579456443,0.1493072509765625,0.041123524824605795,0.01,{1: 5},gini,7,0.7,,1,100,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 100}",12.625331760542613,12.120318490120908,13.314656443526983,12.903701518950008,13.969178587229022,12.986637360073908,0.6262447215907073,150,13.017953255179533,13.118410381184104,12.95712600457126,13.12990747226011,12.76772219559848,12.998223861758698,0.13190502163228693
189,2.59419641494751,0.08316413805151042,0.12796463966369628,0.010746373191795012,0.01,{1: 5},gini,7,0.7,10,1,50,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 50}",12.57741079327632,12.230905337658507,13.285166617516957,13.00324435923905,13.626308804011208,12.944607182340409,0.49564900073238605,157,12.875101378751014,13.16080513160805,12.960812504608125,13.130829063294872,12.870018800457109,12.999513375743831,0.12409978868463682
190,3.8804161071777346,0.08207627561524582,0.12991580963134766,0.009770113697117099,0.01,{1: 5},gini,7,0.7,10,1,75,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 75}",12.581097021527572,12.227219109407255,13.285166617516957,13.135968146291107,13.847515115764637,13.015393202101507,0.5638394212690607,145,12.891690628916907,13.138686131386862,12.941458379414584,13.148339292955358,12.963099494968112,13.016654785528363,0.10618019395853513
191,5.2258611679077145,0.05122054911983815,0.21465005874633789,0.03956088864772792,0.01,{1: 5},gini,7,0.7,10,1,100,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 7, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",12.640076673547625,12.249336478914774,13.229873193748157,12.918448606400236,13.799587081551394,12.967464406832438,0.5266079214528971,151,13.00412888004129,13.280616382806164,12.966342254663422,13.031297231540531,12.853430161831385,13.027162982176558,0.14047671830592307
192,6.390511322021484,0.1646265453231311,0.1338343143463135,0.002639821900814242,0.01,{1: 5},gini,9,,,1,50,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 50}",12.47788263049248,12.116632261869656,12.953406074904159,12.855773484736764,13.578380769797965,12.796415044360206,0.49055224674433706,207,12.687089876870898,13.096291380962914,12.545159625451596,12.964021086002875,12.783389243189442,12.815190242495543,0.1957069295645531
193,9.86763620376587,0.057405918564131984,0.12749309539794923,0.0026710870407564403,0.01,{1: 5},gini,9,,,1,75,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 75}",12.264081391919788,12.076083751105868,12.923916248894132,12.870520572186994,13.578380769797965,12.742596546780948,0.5331027515076376,233,12.567278625672786,13.158961881589619,12.491705374917053,12.98890404394146,12.783389243189442,12.798047833862071,0.25059930033990413
194,13.062253999710084,0.2279046332427394,0.17677197456359864,0.05361275388625289,0.01,{1: 5},gini,9,,,1,100,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 100}",12.437334119728694,12.061338838100855,12.938661161899145,12.804158678660965,13.419849579708007,12.732268475619533,0.45992755293160364,248,12.682481751824817,13.135921256359213,12.605986876059868,12.934530172890478,12.741917646625133,12.820167540751902,0.19169402707477956
195,3.793711709976196,0.09940584919308236,0.12094292640686036,0.007592750529026329,0.01,{1: 5},gini,9,,10,1,50,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 50}",12.47788263049248,12.116632261869656,12.953406074904159,12.855773484736764,13.578380769797965,12.796415044360206,0.49055224674433706,207,12.687089876870898,13.096291380962914,12.545159625451596,12.964021086002875,12.783389243189442,12.815190242495543,0.1957069295645531
196,5.537369966506958,0.057490133127242625,0.13570566177368165,0.004144220868356041,0.01,{1: 5},gini,9,,10,1,75,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 75}",12.264081391919788,12.076083751105868,12.923916248894132,12.870520572186994,13.578380769797965,12.742596546780948,0.5331027515076376,233,12.567278625672786,13.158961881589619,12.491705374917053,12.98890404394146,12.783389243189442,12.798047833862071,0.25059930033990413
197,7.33051872253418,0.21264817634459993,0.16814093589782714,0.05684387330426745,0.01,{1: 5},gini,9,,10,1,100,"{'ccp_alpha': 0.01, 'class_weight': {1: 5}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",12.437334119728694,12.061338838100855,12.938661161899145,12.804158678660965,13.419849579708007,12.732268475619533,0.45992755293160364,248,12.682481751824817,13.135921256359213,12.605986876059868,12.934530172890478,12.741917646625133,12.820167540751902,0.19169402707477956
