,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
723,0.16083297729492188,0.005174578977195234,0.007632160186767578,0.00031067240329946366,0.1,{1: 10},gini,9,,40,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
724,0.15430402755737305,0.011880061478613254,0.008983945846557618,0.0021001999356398985,0.1,{1: 10},gini,9,0.7,,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
725,0.08727664947509765,0.002049168146960268,0.00729837417602539,0.00017115349607650136,0.1,{1: 10},gini,9,0.7,10,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
726,0.10954046249389648,0.00817366035172517,0.007358455657958984,0.00021993633073755616,0.1,{1: 10},gini,9,0.7,20,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 0.7, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
727,0.12177643775939942,0.004800768917229515,0.008101081848144532,0.0016477742146358096,0.1,{1: 10},gini,9,0.7,40,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 0.7, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
728,0.2296611785888672,0.01072520122350972,0.007645225524902344,0.0005273075767079448,0.1,{1: 10},gini,11,,,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 11, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
729,0.1117293357849121,0.003725030560097965,0.0071640491485595705,0.00011211154489959293,0.1,{1: 10},gini,11,,10,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 11, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
730,0.14264287948608398,0.00876119950491321,0.00775613784790039,0.000284057606403849,0.1,{1: 10},gini,11,,20,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 11, 'max_features': None, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
731,0.16491408348083497,0.008788108404473116,0.008128547668457031,0.000768919125398353,0.1,{1: 10},gini,11,,40,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 11, 'max_features': None, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
732,0.16722712516784669,0.002663248706041744,0.00792851448059082,0.00017482456512239597,0.1,{1: 10},gini,11,0.7,,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 11, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
